ID	Sex	DR	Phone	Context
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	l_iy_hh
KKH0	F	5	iy	hh_iy_s
KKH0	F	5	iy	hh_iy_s
KKH0	F	5	iy	hh_iy_s
KKH0	F	5	iy	hh_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	l_iy_s
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	r_iy_ey
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	dx_iy_pau
KKH0	F	5	iy	ay_iy_n
KKH0	F	5	iy	ay_iy_n
KKH0	F	5	iy	ay_iy_n
KKH0	F	5	iy	ay_iy_n
KKH0	F	5	iy	ay_iy_n
KKH0	F	5	iy	ay_iy_n
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	k_iy_pcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	m_iy_bcl
KKH0	F	5	iy	l_iy_h#
KKH0	F	5	iy	l_iy_h#
KKH0	F	5	iy	l_iy_h#
KKH0	F	5	iy	l_iy_h#
KKH0	F	5	iy	hh_iy_pcl
KKH0	F	5	iy	hh_iy_pcl
KKH0	F	5	iy	hh_iy_pcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	iy	q_iy_tcl
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	d_aa_r
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	w_aa_sh
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	s_aa_l
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	b_aa_bcl
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_r
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	k_aa_n
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	aa	s_aa_kcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	uh	g_uh_dcl
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	h#_sh_iy
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	k_s_ux
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	aa_sh_epi
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ae_s_kcl
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	ix_s_aa
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	n_sh_ax
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	ey_sh_en
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	en_sh_ix
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	p_s_pcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	er_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	iy_s_tcl
KKH0	F	5	s	tcl_s_kcl
KKH0	F	5	s	tcl_s_kcl
KKH0	F	5	s	tcl_s_kcl
KKH0	F	5	s	tcl_s_kcl
KKH0	F	5	s	tcl_s_kcl
KKH0	F	5	s	tcl_s_kcl
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	iy_s_ae
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	f_s_ay
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ix_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	ih_s_tcl
KKH0	F	5	s	n_s_q
KKH0	F	5	s	n_s_q
KKH0	F	5	s	n_s_q
KKH0	F	5	s	n_s_q
KKH0	F	5	s	n_s_q
KKH0	F	5	s	n_s_q
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	f_s_tcl
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_sh_ey
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	n_s_tcl
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	ax-h_s_aa
KKH0	F	5	s	k_s_f
KKH0	F	5	s	k_s_f
KKH0	F	5	s	k_s_f
KKH0	F	5	s	k_s_f
KKH0	F	5	s	k_s_f
KKH0	F	5	s	k_s_f
KKH0	F	5	s	k_s_f
KKH0	F	5	f	n_f_ix
KKH0	F	5	f	n_f_ix
KKH0	F	5	f	n_f_ix
KKH0	F	5	f	n_f_ix
KKH0	F	5	f	n_f_ix
KKH0	F	5	f	n_f_ix
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	n_f_ax
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	eh_f_s
KKH0	F	5	f	s_f_axr
KKH0	F	5	f	s_f_axr
KKH0	F	5	f	s_f_axr
KKH0	F	5	f	s_f_axr
KKH0	F	5	f	s_f_axr
KKH0	F	5	f	s_f_axr
